player,finalvaluebo,finalvalueba,bowlerf,batsmanf,arrvalue
AD Russell,3.416097937,5.0319753369999995,0.7262693139418022,0.6818333566881373,70.40513353149697
SP Narine,3.784398478,3.7515205239999996,0.804641951518964,0.5083315517775082,65.64867516482362
SR Watson,3.103228895,4.695839118,0.6596922408503461,0.6362868523521547,64.79895466012505
HH Pandya,3.695967412,3.7581843760000004,0.7858242330671736,0.5092345046485655,64.75293688578697
DJ Bravo,4.262199446,2.185019056,0.9063157693130061,0.29607038540618846,60.11930773595972
CH Morris,3.54651087,2.536183592,0.7540205779112561,0.34365322878185983,54.883690334655796
KH Pandya,2.85576053,3.5923148780000003,0.6070321268323279,0.4867591646440291,54.68956457381785
DL Chahar,3.3049297639999997,2.327229465,0.702613245153556,0.3153399155669367,50.89765803602464
MJ McClenaghan,3.915534951,1.323938965,0.8325471814262323,0.17939391354297657,50.597054748460444
BA Stokes,2.806600076,3.00468244,0.5965710114779773,0.4071348877215498,50.18529495997635
Rashid Khan,3.5627633910000003,1.7650194330000002,0.7574790385873924,0.2391603781865243,49.83197083869584
SK Raina,1.064092316,5.656154308,0.22577348623113785,0.7664096939054033,49.609159006827056
RA Jadeja,3.155401688,2.327861151,0.6707943678960332,0.3154255091076256,49.31099385018294
R Ashwin,3.3184222039999995,1.813211079,0.7054843734643657,0.2456903529093528,47.55873631868592
AJ Tye,3.336661709,1.7673555369999998,0.7093656550695205,0.2394769206028156,47.44212878361681
JD Unadkat,3.788283215,1.0305469729999999,0.8054686054363244,0.13963925789912693,47.25539316677256
R Vinay Kumar,3.436077553,1.575910564,0.7305208830528529,0.21353610018546393,47.202849161915836
Mohammed Shami,3.5981648739999996,1.2380135890000001,0.7650123090770847,0.167751013167058,46.63816611220714
AR Patel,2.9116119,2.3004246409999998,0.6189170379087902,0.31170785819396657,46.53124480513784
YS Chahal,4.065330632,0.485957507,0.8644230037797953,0.0658473096577518,46.51351567187735
