batsman,MOM,avg.runs,4's,6's,50's,100\s,no of balls,batsman_runs,strike,30\s
K Rabada,1,10.0,5,2,0,0,83,70,84.3373494,1
KA Pollard,10,21.09090909,184,174,13,0,1964,2784,141.7515275,30
KC Sangakkara,5,24.80882353,197,26,9,0,1424,1687,118.4691011,23
KD Karthik,4,22.7654321,358,101,17,1,2890,3688,127.6124567,52
KH Pandya,4,19.89130435,86,36,1,0,635,915,144.0944882,13
KK Cooper,1,9.666666667,9,8,0,0,70,116,165.7142857,1
KK Nair,3,23.33333333,159,39,8,0,1160,1470,126.7241379,21
KL Rahul,4,34.70689655,177,81,17,2,1465,2013,137.4061433,26
KM Jadhav,2,15.58571429,92,38,3,0,879,1091,124.1183163,11
KMDN Kulasekara,1,5.0,1,0,0,0,3,5,166.6666667,0
KP Pietersen,3,27.80555556,92,40,4,1,758,1001,132.0580475,15
KS Williamson,3,32.17073171,114,44,10,0,981,1319,134.4546381,20
KV Sharma,1,9.323529412,18,14,0,0,285,317,111.2280702,2
Kuldeep Yadav,1,5.75,4,0,0,0,55,46,83.63636364,0
L Balaji,3,2.769230769,2,1,0,0,50,36,72.0,0
LH Ferguson,1,1.0,0,0,0,0,1,1,100.0,0
LJ Wright,1,21.2,15,3,0,0,63,106,168.2539683,2
LMP Simmons,3,37.20689655,110,44,12,1,878,1079,122.8929385,17
LR Shukla,1,12.27272727,33,16,0,0,358,405,113.1284916,3
LRPL Taylor,3,18.83333333,68,45,3,0,847,1017,120.0708383,11
M Kartik,1,8.071428571,7,1,0,0,109,113,103.6697248,0
M Morkel,2,6.3,10,5,0,0,93,126,135.483871,0
M Muralitharan,2,2.222222222,1,0,0,0,30,20,66.66666667,0
M Ntini,2,5.5,2,0,0,0,19,11,57.89473684,0
M Ur Rahman,1,3.0,2,0,0,0,11,12,109.0909091,0
M Vijay,6,25.39215686,247,91,13,2,2164,2590,119.6857671,36
M Vohra,3,22.57777778,98,39,3,0,800,1016,127.0,15
MA Agarwal,2,17.72222222,118,52,5,0,1027,1276,124.2453749,16
MA Starc,1,8.727272727,12,0,0,0,98,96,97.95918367,0
MC Henriques,2,19.38,86,27,5,0,769,969,126.0078023,12
MD Mishra,1,13.94117647,26,8,0,0,213,237,111.2676056,2
MEK Hussey,12,34.0862069,200,52,16,1,1648,1977,119.9635922,28
MF Maharoof,1,12.64285714,12,9,0,0,124,177,142.7419355,1
MG Johnson,2,6.0,10,7,0,0,168,168,100.0,0
MJ Lumb,1,23.16666667,47,6,1,0,198,278,140.4040404,5
MJ McClenaghan,2,4.55,6,7,0,0,73,91,124.6575342,0
MK Pandey,4,24.13445378,257,76,15,1,2425,2872,118.4329897,37
MK Tiwary,3,20.44578313,157,40,6,0,1489,1697,113.9691068,25
ML Hayden,4,34.59375,124,44,8,0,839,1107,131.942789,17
MM Patel,2,3.25,5,0,0,0,41,39,95.12195122,0
MM Sharma,2,4.96,9,4,0,0,120,124,103.3333333,0
MN Samuels,1,11.5,9,7,0,0,174,161,92.52873563,2
MP Stoinis,2,19.28,35,18,1,0,373,482,129.2225201,7
MR Marsh,1,16.07142857,9,14,0,0,201,225,111.9402985,3
MS Bisla,1,20.46153846,97,23,4,0,737,798,108.2767978,6
MS Dhoni,17,26.33529412,303,207,23,0,3318,4477,134.9306811,61
MS Gony,1,6.6,6,8,0,0,76,99,130.2631579,1
MV Boucher,2,17.13043478,33,12,0,0,318,394,123.8993711,6
Mandeep Singh,3,18.63855422,161,33,5,0,1254,1547,123.3652313,18
Mohammed Shami,1,3.375,5,2,0,0,54,54,100.0,0
Mohammed Siraj,1,5.666666667,2,1,0,0,38,34,89.47368421,0
Mustafizur Rahman,1,1.0,0,0,0,0,3,1,33.33333333,0
N Rana,4,26.92682927,83,60,7,0,835,1104,132.2155689,14
NM Coulter-Nile,4,4.727272727,3,4,0,0,53,52,98.11320755,0
NV Ojha,1,16.54255319,122,78,6,0,1360,1555,114.3382353,11
P Kumar,2,5.964912281,22,17,0,0,323,340,105.2631579,1
P Negi,2,10.45714286,29,16,0,0,301,366,121.5946844,3
P Parameswaran,1,0.5,0,0,0,0,3,1,33.33333333,0
P Shaw,1,24.64,72,19,4,1,435,616,141.6091954,7
PA Patel,5,21.13235294,369,49,13,0,2444,2874,117.594108,39
PC Valthaty,2,21.95652174,63,20,3,1,432,505,116.8981481,5
PD Collingwood,1,29.0,9,13,3,0,159,203,127.672956,3
PP Chawla,3,7.826666667,54,18,0,0,541,587,108.5027726,0
PP Ojha,1,0.842105263,0,0,0,0,45,16,35.55555556,0
PV Tambe,2,3.0,1,0,0,0,39,18,46.15384615,0
Q de Kock,1,29.78,160,55,10,1,1136,1489,131.0739437,22
R Ashwin,2,7.64,32,10,0,0,350,382,109.1428571,2
R Bhatia,1,7.276595745,24,13,0,0,290,342,117.9310345,0
R Dravid,2,26.51219512,272,28,11,0,1918,2174,113.3472367,32
R McLaren,1,12.23076923,14,1,1,0,178,159,89.3258427,2
R Sharma,2,3.473684211,5,3,0,0,77,66,85.71428571,0
R Vinay Kumar,3,7.404761905,21,9,0,0,289,311,107.6124567,0
RA Jadeja,8,15.608,136,65,0,0,1632,1951,119.5465686,15
RA Tripathi,1,23.36363636,75,28,4,0,571,771,135.0262697,11
RE Levi,1,13.83333333,10,4,0,0,74,83,112.1621622,1
RG Sharma,17,27.0,431,193,32,1,3816,4914,128.7735849,68
RJ Harris,1,5.571428571,6,3,0,0,112,117,104.4642857,0
RP Singh,1,1.857142857,2,1,0,0,78,52,66.66666667,0
RR Pant,6,33.18518519,151,95,12,1,1104,1792,162.3188406,26
RS Bopara,1,24.13636364,39,16,3,0,468,531,113.4615385,6
RV Uthappa,7,26.15294118,443,156,23,0,3492,4446,127.3195876,65
Rashid Khan,7,6.411764706,5,9,0,0,67,109,162.6865672,1
S Anirudha,1,11.33333333,11,7,1,0,121,136,112.3966942,1
S Aravind,1,5.9,7,0,0,0,59,59,100.0,0
S Badrinath,1,22.16923077,156,28,11,0,1245,1441,115.7429719,23
S Curran,1,11.875,13,3,1,0,55,95,172.7272727,1
S Dhawan,6,29.3164557,529,95,32,0,3776,4632,122.6694915,63
S Gill,1,22.47826087,43,15,4,0,384,517,134.6354167,6
S Gopal,2,9.357142857,14,1,0,0,120,131,109.1666667,0
S Hetmyer,1,18.6,4,7,1,0,76,93,122.3684211,1
S Nadeem,1,1.882352941,1,0,0,0,79,32,40.50632911,0
S Sohal,1,18.4,34,18,2,0,311,368,118.3279743,6
S Sreesanth,1,2.833333333,7,0,0,0,57,34,59.64912281,0
SA Asnodkar,1,22.26315789,59,10,1,0,352,423,120.1704545,7
SA Yadav,1,14.47619048,53,21,1,0,479,608,126.9311065,6
SB Jakati,1,5.6,3,0,0,0,30,28,93.33333333,0
SB Wagh,1,1.0,0,0,0,0,3,2,66.66666667,0
SC Ganguly,5,24.08928571,138,41,6,0,1326,1349,101.73454,21
SE Marsh,9,36.07246377,274,77,21,1,1913,2489,130.1097752,37
SK Raina,14,28.65079365,492,194,38,1,4044,5415,133.9020772,76
SK Trivedi,2,3.0,3,1,0,0,61,42,68.85245902,0
SK Warne,4,7.333333333,14,6,0,0,219,198,90.4109589,1
SL Malinga,6,4.4,6,5,0,0,103,88,85.4368932,0
SM Katich,1,21.90909091,26,8,1,0,191,241,126.1780105,3
SM Pollock,2,18.375,12,8,0,0,116,147,126.7241379,2
SP Goswami,1,15.84210526,32,3,1,0,302,301,99.66887417,3
SP Narine,9,14.87037037,95,46,4,0,481,803,166.9438669,11
SPD Smith,5,28.43055556,183,47,9,1,1616,2047,126.6707921,30
SR Tendulkar,8,29.92307692,300,29,14,1,2044,2334,114.1878669,37
SR Watson,15,27.8,345,178,22,4,2639,3614,136.9458128,47
SS Iyer,4,28.09836066,151,67,11,0,1370,1714,125.1094891,26
ST Jayasuriya,2,25.6,85,38,5,1,573,768,134.0314136,10
SV Samson,5,25.39772727,172,89,13,2,1728,2235,129.3402778,30
SW Billings,1,17.78947368,33,10,3,0,256,338,132.03125,3
Sandeep Sharma,5,1.857142857,1,0,0,0,40,26,65.0,0
Shakib Al Hasan,2,16.5,71,22,2,0,615,759,123.4146341,8
Shoaib Akhtar,1,2.0,0,0,0,0,8,2,25.0,0
Sohail Tanvir,2,7.2,3,1,0,0,31,36,116.1290323,0
TA Boult,1,3.0,0,1,0,0,14,12,85.71428571,0
TG Southee,1,8.846153846,8,4,0,0,91,115,126.3736264,1
TL Suman,1,17.33333333,55,26,2,0,587,676,115.1618399,6
TM Dilshan,1,23.06,139,24,8,0,1047,1153,110.1241643,17
UT Yadav,8,3.848484848,12,4,0,0,133,127,95.4887218,0
Umar Gul,1,9.75,2,5,0,0,19,39,205.2631579,0
V Kohli,12,32.15384615,486,190,42,5,4211,5434,129.0429827,77
V Sehwag,11,26.23076923,340,105,17,2,1833,2728,148.8270595,35
VR Aaron,2,4.9,2,2,0,0,63,49,77.77777778,0
WP Saha,3,19.13978495,161,59,7,1,1382,1780,128.7988423,18
WPUJC Vaas,1,7.363636364,2,2,0,0,73,81,110.9589041,0
Washington Sundar,1,6.583333333,5,4,0,0,56,79,141.0714286,1
YK Pathan,16,21.18300654,265,161,15,1,2334,3241,138.8603256,39
YS Chahal,1,1.833333333,0,0,0,0,49,22,44.89795918,0
Yuvraj Singh,5,21.94444444,218,149,12,0,2207,2765,125.2831899,36
Z Khan,1,4.333333333,11,2,0,0,141,117,82.9787234,0
