Player,Team 2010_x,Auction.P 2010,Base.P 2010,Team 2010_y,Base.P 2013,Auction.P 2013,Team 2016,Base.P 2016,Auction.P 2016,Team 2019,Base.P 2019,Auction.P 2019,Playing Role
Abhimanyu Mithun,,,,,,,Sunrisers Hyderabad,30.0,30.0,,,,
Travis Head,,,,,,,Royal Challengers Bangalore,30.0,50.0,,,,
Sachin Baby,,,,,,,Royal Challengers Bangalore,10.0,10.0,,,,
Karun Nair,,,,,,,Delhi Daredevils,10.0,400.0,,,,
Paras Dogra,,,,,,,Gujarat Lions,10.0,400.0,,,,
Ishan Kishan,,,,,,,Gujarat Lions,10.0,35.0,,,,
Rishabh Pant,,,,,,,Delhi Daredevils,10.0,190.0,,,,
Eklavya Dwivedi,,,,,,,Gujarat Lions,20.0,100.0,,,,
Aditya Tare,,,,,,,Sunrisers Hyderabad,20.0,120.0,,,,
Iqbal Abdulla,,,,,,,Royal Challengers Bangalore,10.0,10.0,,,,
Deepak Hooda,,,,,,,Sunrisers Hyderabad,10.0,420.0,,,,
Ankit Sharma,,,,,,,Rising Pune Supergiant,10.0,10.0,,,,
Pawan Negi,,,,,,,Delhi Daredevils,30.0,850.0,,,,
Rajat Bhatia,,,,,,,Rising Pune Supergiant,30.0,60.0,,,,
Pradeep Sangwan,,,,,,,Gujarat Lions,20.0,20.0,,,,
Nathu Singh,,,,,,,Mumbai Indians,10.0,320.0,Delhi Capitals,20.0,20.0,Bowler
Ishwar Pandey,,,,,,,Rising Pune Supergiant,20.0,20.0,,,,
Ankit Rajpoot,,,,,,,Kolkata Knight Riders,10.0,150.0,,,,
Pravin Tambe,,,,,,,Gujarat Lions,10.0,20.0,,,,
Shivil Kaushik,,,,,,,Gujarat Lions,10.0,10.0,,,,
Sarabjit Ladda,,,,,,,Gujarat Lions,10.0,10.0,,,,
Murugan Ashwin,,,,,,,Rising Pune Supergiant,10.0,450.0,Kings XI Punjab,20.0,20.0,Bowler
KC Cariappa,,,,,,,Kings XI Punjab,10.0,80.0,,,,
Aaron Finch,,,,,,,Gujarat Lions,100.0,100.0,,,,
Sam Billings,,,,,,,Delhi Daredevils,30.0,30.0,,,,
Tirumalasetti Suman,,,,,,,Sunrisers Hyderabad,10.0,10.0,,,,
Ankush Bains,,,,,,,Rising Pune Supergiant,10.0,10.0,Delhi Capitals,20.0,20.0,Wicketkeeper
Umang Sharma,,,,,,,Gujarat Lions,10.0,10.0,,,,
Peter Handscomb,,,,,,,Rising Pune Supergiant,30.0,30.0,,,,
Jitesh Sharma,,,,,,,Mumbai Indians,10.0,10.0,,,,
Armaan Jaffer,,,,,,,Kings XI Punjab,10.0,10.0,,,,
Ben Cutting,,,,,,,Sunrisers Hyderabad,50.0,50.0,,,,
Andrew Tye,,,,,,,Gujarat Lions,30.0,50.0,,,,
Praveen Dubey,,,,,,,Royal Challengers Bangalore,10.0,35.0,,,,
Rajagopal Sathish,,,,,,,Kolkata Knight Riders,20.0,20.0,,,,
Vijay Shankar,,,,,,,Sunrisers Hyderabad,10.0,35.0,,,,
Shadab Jakati,,,,,,,Gujarat Lions,20.0,20.0,,,,
Akshay Karnewar,,,,,,,Royal Challengers Bangalore,10.0,10.0,,,,
Akshdeep Nath,,,,,,,Gujarat Lions,10.0,10.0,Royal Challengers Bangalore,20.0,360.0,All-rounder
Manan Sharma,,,,,,,Kolkata Knight Riders,10.0,10.0,,,,
Baba Aparajith,,,,,,,Rising Pune Supergiant,10.0,10.0,,,,
Deepak Chahar,,,,,,,Rising Pune Supergiant,10.0,10.0,,,,
Kishore Kamath,,,,,,,Mumbai Indians,10.0,140.0,,,,
Pardeep Sahu,,,,,,,Kings XI Punjab,10.0,10.0,,,,
Krunal Pandya,,,,,,,Mumbai Indians,10.0,200.0,,,,
Deepak Punia,,,,,,,Mumbai Indians,10.0,10.0,,,,
Swapnil Singh,,,,,,,Kings XI Punjab,10.0,10.0,,,,
Khaleel Ahmed,,,,,,,Delhi Daredevils,10.0,10.0,,,,
Jaydev Shah,,,,,,,Gujarat Lions,20.0,20.0,,,,
Pratyush Singh,,,,,,,Delhi Daredevils,10.0,10.0,,,,
Ashok Dinda,,,,,,,Rising Pune Supergiant,50.0,50.0,,,,
Samuel Badree,,,,,,,Royal Challengers Bangalore,50.0,50.0,,,,
Joel Paris,,,,,,,Delhi Daredevils,30.0,30.0,,,,
Scott Boland,,,,,,,Rising Pune Supergiant,50.0,50.0,,,,
Vikramjeet Malik,,,,,,,Royal Challengers Bangalore,20.0,20.0,,,,
Pawan Suyal,,,,,,,Delhi Daredevils,10.0,10.0,,,,
Adam Zampa,,,,,,,Rising Pune Supergiant,30.0,30.0,,,,
Amit Mishra,,,,,,,Gujarat Lions,10.0,10.0,,,,
Jaskaran Singh,,,,,,,Rising Pune Supergiant,10.0,10.0,,,,
Chama Milind,,,,,,,Delhi Daredevils,10.0,10.0,,,,
Vikas Tokas,,,,,,,Royal Challengers Bangalore,10.0,10.0,,,,
Farhaan Behardien,,,,,,,Kings XI Punjab,30.0,30.0,,,,
Akhil Herwadkar,,,,,,,Delhi Daredevils,10.0,10.0,,,,
Mahipal Lomror,,,,,,,Delhi Daredevils,10.0,10.0,,,,
Hanuma Vihari,,,,,,,,,,Delhi Capitals,50.0,200.0,Batsman
Shimron Hetmyer,,,,,,,,,,Royal Challengers Bangalore,50.0,420.0,Batsman
Gurkeerat Singh,,,,,,,,,,Royal Challengers Bangalore,50.0,50.0,All-rounder
Moises Henriques,,,,,,,,,,Kings XI Punjab,100.0,100.0,All-rounder
Axar Patel,,,,,,,,,,Delhi Capitals,100.0,500.0,All-rounder
Jonny Bairstow,,,,,,,,,,Sunrisers Hyderabad,150.0,220.0,Wicketkeeper
Nicholas Pooran,,,,,,,,,,Kings XI Punjab,75.0,420.0,Wicketkeeper
Wriddhiman Saha,,,,,,,,,,Sunrisers Hyderabad,100.0,120.0,Wicketkeeper
Lasith Malinga,,,,,,,,,,Mumbai Indians,200.0,200.0,Bowler
Mohammad Shami,,,,,,,,,,Kings XI Punjab,100.0,480.0,Bowler
Varun Aaron,,,,,,,,,,Rajasthan Royals,50.0,240.0,Bowler
Devdutt Padikkal,,,,,,,,,,Royal Challengers Bangalore,20.0,20.0,Batsman
Anmolpreet Singh,,,,,,,,,,Mumbai Indians,20.0,80.0,Batsman
Sarfaraz Khan,,,,,,,,,,Kings XI Punjab,20.0,25.0,All-rounder
Shivam Dube,,,,,,,,,,Royal Challengers Bangalore,20.0,500.0,All-rounder
Varun Chakravarthy,,,,,,,,,,Kings XI Punjab,20.0,840.0,All-rounder
Colin Ingram,,,,,,,,,,Delhi Capitals,200.0,640.0,Batsman
Sam Curran,,,,,,,,,,Kings XI Punjab,200.0,720.0,All-rounder
Heinrich Klaasen,,,,,,,,,,Royal Challengers Bangalore,50.0,50.0,Wicketkeeper
Lockie Ferguson,,,,,,,,,,Kolkata Knight Riders,100.0,160.0,Bowler
Sherfane Rutherford,,,,,,,,,,Delhi Capitals,40.0,200.0,All-rounder
Anrich Nortje,,,,,,,,,,Kolkata Knight Riders,20.0,20.0,Bowler
Oshane Thomas,,,,,,,,,,Rajasthan Royals,50.0,110.0,Bowler
Hardus Viljoen,,,,,,,,,,Kings XI Punjab,75.0,75.0,Bowler
Himmat Singh,,,,,,,,,,Royal Challengers Bangalore,20.0,65.0,Batsman
Nikhil Naik,,,,,,,,,,Kolkata Knight Riders,20.0,20.0,Wicketkeeper
Arshdeep Singh,,,,,,,,,,Kings XI Punjab,20.0,20.0,Bowler
Harry Gurney,,,,,,,,,,Kolkata Knight Riders,75.0,75.0,Bowler
Pankaj Jaiswal,,,,,,,,,,Mumbai Indians,20.0,20.0,All-rounder
Milind Kumar,,,,,,,,,,Royal Challengers Bangalore,20.0,20.0,All-rounder
Darshan Nalkande,,,,,,,,,,Kings XI Punjab,20.0,30.0,All-rounder
Shashank Singh,,,,,,,,,,Rajasthan Royals,20.0,30.0,All-rounder
Prab Simran Singh,,,,,,,,,,Kings XI Punjab,20.0,480.0,Wicketkeeper
Rasikh Salam,,,,,,,,,,Mumbai Indians,20.0,20.0,Bowler
Prithvi Raj Yarra,,,,,,,,,,Kolkata Knight Riders,20.0,20.0,Bowler
Liam Livingstone,,,,,,,,,,Rajasthan Royals,50.0,50.0,All-rounder
Keemo Paul,,,,,,,,,,Delhi Capitals,50.0,50.0,All-rounder
Prayas Ray Barman,,,,,,,,,,Royal Challengers Bangalore,20.0,150.0,All-rounder
Agnivesh Ayachi,,,,,,,,,,Kings XI Punjab,20.0,20.0,All-rounder
Harpreet Brar,,,,,,,,,,Kings XI Punjab,20.0,20.0,All-rounder
Martin Guptill,,,,,,,,,,Sunrisers Hyderabad,100.0,100.0,Batsman
Jalaj Saxena,,,,,,,,,,Delhi Capitals,20.0,20.0,All-rounder
Ruturaj Gaikwad,,,,,,,,,,Chennai Super Kings,20.0,20.0,Batsman
Shubham Ranjane,,,,,,,,,,Rajasthan Royals,20.0,20.0,All-rounder
Joe Denly,,,,,,,,,,Kolkata Knight Riders,100.0,100.0,Batsman
Bandaru Ayyappa,,,,,,,,,,Delhi Capitals,20.0,20.0,Bowler
Shrikant Mundhe,,,,,,,,,,Kolkata Knight Riders,20.0,20.0,All-rounder
Manan Vohra,,,,,,,,,,Rajasthan Royals,20.0,20.0,Batsman
Ashton Turner,,,,,,,,,,Rajasthan Royals,50.0,50.0,All-rounder
Riyan Parag,,,,,,,,,,Rajasthan Royals,20.0,20.0,All-rounder
