Player,Team 2017,Base.P 2017,Auction.P 2017,Team 2011,Base.P 2011,Auction.P 2011,Team 2014,Base.P 2014,Auction.P 2014,Team 2008,Base.P 2008,Auction.P 2008,Nationality,Speciality
Robin Uthappa,,,,Pune Warriors India,,,Kolkata Knight Riders,200.0,500.0,Mumbai Indians,200.0,800.0,India,Batsman
Rohit Sharma,,,,Mumbai Indians,,,,,,Deccan Chargers,150.0,750.0,India,Batsman
Irfan Pathan,,,,Delhi Daredevils,,,Sunrisers Hyderabad,150.0,240.0,Kings XI Punjab,200.0,925.0,India,Allrounder
Yuvraj Singh,,,,Pune Warriors India,,,Royal Challengers Bangalore,200.0,1400.0,,,,,
Mahela Jayawardene,,,,Kochi Tuskers Kerala,,,,,,Kings XI Punjab,250.0,475.0,Sri Lanka,Batsman
David Hussey,,,,Kings XI Punjab,,,,,,Kolkata Knight Riders,100.0,625.0,Australia,Batsman
Dale Steyn,,,,Deccan Chargers,,,,,,Royal Challengers Bangalore,150.0,325.0,South Africa,Bowler
Muttiah Muralitharan,,,,Kochi Tuskers Kerala,,,Royal Challengers Bangalore,100.0,100.0,Chennai Super Kings,250.0,600.0,Sri Lanka,Bowler
Cameron White,,,,Deccan Chargers,,,,,,Royal Challengers Bangalore,100.0,500.0,Australia,Allrounder
Jacques Kallis,,,,Kolkata Knight Riders,,,Kolkata Knight Riders,200.0,550.0,Royal Challengers Bangalore,225.0,900.0,South Africa,Allrounder
AB de Villiers,,,,Royal Challengers Bangalore,,,,,,Delhi Daredevils,200.0,300.0,South Africa,Wicketkeeper
Ross Taylor,,,,Rajasthan Royals,,,Delhi Daredevils,200.0,200.0,,,,,
Ravindra Jadeja,,,,Kochi Tuskers Kerala,,,,,,,,,,
Johan Botha,,,,Rajasthan Royals,,,,,,,,,,
Dinesh Karthik,,,,Kings XI Punjab,,,Delhi Daredevils,200.0,1250.0,Delhi Daredevils,200.0,525.0,India,Wicketkeeper
Piyush Chawla,,,,Kings XI Punjab,,,Kolkata Knight Riders,50.0,425.0,Kings XI Punjab,125.0,400.0,India,Bowler
Sreesanth,,,,Kochi Tuskers Kerala,,,,,,Kings XI Punjab,200.0,625.0,India,Bowler
Adam Gilchrist,,,,Kings XI Punjab,,,,,,Deccan Chargers,300.0,700.0,Australia,Wicket keeper
Zaheer Khan,,,,Royal Challengers Bangalore,,,Mumbai Indians,100.0,260.0,Royal Challengers Bangalore,200.0,450.0,India,Bowler
Dan Christian,,,,Deccan Chargers,,,,,,,,,,
Ravichandran Ashwin,,,,Chennai Super Kings,,,,,,,,,,
Ashish Nehra,,,,Pune Warriors India,,,Chennai Super Kings,200.0,200.0,,,,,
Andrew Symonds,,,,Mumbai Indians,,,,,,Deccan Chargers,250.0,1350.0,Australia,Allrounder
Subramaniam Badrinath,,,,Chennai Super Kings,,,,,,,,,,
Praveen Kumar,,,,Kings XI Punjab,,,,,,,,,,
Abhishek Nayar,,,,Kings XI Punjab,,,Rajasthan Royals,30.0,100.0,,,,,
David Warner,,,,Delhi Daredevils,,,Sunrisers Hyderabad,150.0,550.0,,,,,
Umesh Yadav,,,,Delhi Daredevils,,,Kolkata Knight Riders,100.0,260.0,,,,,
Venugopal Rao,,,,Delhi Daredevils,,,,,,,,,,
Kumar Sangakkara,,,,Deccan Chargers,,,,,,Kings XI Punjab,250.0,700.0,Sri Lanka,Wicketkeeper-batsman
Cheteshwar Pujara,,,,Royal Challengers Bangalore,,,Kings XI Punjab,150.0,190.0,,,,,
Doug Bollinger,,,,Chennai Super Kings,,,,,,,,,,
Dirk Nannes,,,,Royal Challengers Bangalore,,,,,,,,,,
Tillakaratne Dilshan,,,,Royal Challengers Bangalore,,,,,,Delhi Daredevils,152.0,250.0,Sri Lanka,Allrounder
Kevin Pietersen,,,,Deccan Chargers,,,Delhi Daredevils,200.0,900.0,,,,,
Daniel Vettori,,,,Royal Challengers Bangalore,,,,,,Delhi Daredevils,250.0,625.0,New Zealand,Bowler
Pragyan Ojha,,,,Deccan Chargers,,,Mumbai Indians [RTM],200.0,325.0,,,,,
Rahul Dravid,,,,Rajasthan Royals,,,,,,,,,,
Graeme Smith,,,,Pune Warriors India,,,,,,Rajasthan Royals,250.0,250.0,South Africa,Batsman
RP Singh,,,,Kochi Tuskers Kerala,,,,,,,,,,
Lakshmipathy Balaji,,,,Kolkata Knight Riders,,,Kings XI Punjab,50.0,180.0,,,,,
Morné Morkel,,,,Delhi Daredevils,,,,,,,,,,
Brendon McCullum,,,,Kochi Tuskers Kerala,,,Chennai Super Kings,200.0,325.0,Kolkata Knight Riders,175.0,700.0,New Zealand,Wicketkeeper
Vinay Kumar,,,,Kochi Tuskers Kerala,,,,,,,,,,
Ishant Sharma,,,,Deccan Chargers,,,Sunrisers Hyderabad,150.0,425.0,Kolkata Knight Riders,150.0,950.0,India,Bowler
Brad Hodge,,,,Kochi Tuskers Kerala,,,Rajasthan Royals,200.0,240.0,,,,,
Shakib Al Hasan,,,,Kolkata Knight Riders,,,Kolkata Knight Riders,100.0,280.0,,,,,
Michael Hussey,,,,Chennai Super Kings,,,Mumbai Indians,200.0,500.0,Chennai Super Kings,250.0,250.0,Australia,Batsman
Brett Lee,,,,Kolkata Knight Riders,,,,,,Kings XI Punjab,300.0,900.0,Australia,Bowler
Shaun Marsh,,,,Kings XI Punjab,,,Kings XI Punjab,200.0,220.0,,,,,
Stuart Broad,,,,Kings XI Punjab,,,,,,,,,,
VVS Laxman,,,,Kochi Tuskers Kerala,,,,,,Deccan Chargers,150.0,375.0,India,Batsman
Murali Kartik,,,,Pune Warriors India,,,Kings XI Punjab[REC],100.0,100.0,Kolkata Knight Riders,200.0,425.0,India,Bowler
Ashok Dinda,,,,Delhi Daredevils,,,Royal Challengers Bangalore,100.0,150.0,,,,,
James Hopes,,,,Delhi Daredevils,,,,,,,,,,
Ryan Harris,,,,Kings XI Punjab,,,,,,,,,,
Brad Haddin,,,,Kolkata Knight Riders,,,,,,,,,,
Callum Ferguson,,,,Pune Warriors India,,,,,,,,,,
Aaron Finch,,,,Delhi Daredevils,,,Sunrisers Hyderabad,100.0,400.0,,,,,
Amit Mishra,,,,Deccan Chargers,,,Sunrisers Hyderabad,200.0,475.0,,,,,
Amit Mishra,,,,Deccan Chargers,,,Rajasthan Royals[REC],10.0,10.0,,,,,
Shikhar Dhawan,,,,Deccan Chargers,,,,,,,,,,
JP Duminy,,,,Deccan Chargers,,,,,,,,,,
Shaun Tait,,,,Rajasthan Royals,,,,,,,,,,
Parthiv Patel,,,,Kochi Tuskers Kerala,,,Royal Challengers Bangalore,100.0,275.0,Chennai Super Kings,150.0,325.0,India,Wicketkeeper
Mitchell Marsh,,,,Pune Warriors India,,,,,,,,,,
Naman Ojha,,,,Delhi Daredevils,,,Sunrisers Hyderabad,50.0,50.0,,,,,
Tim Paine,,,,Pune Warriors India,,,,,,,,,,
Abhimanyu Mithun,,,,Royal Challengers Bangalore,,,,,,,,,,
Paul Collingwood,,,,Rajasthan Royals,,,,,,,,,,
Sudeep Tyagi,,,,Chennai Super Kings,,,,,,,,,,
Ajit Agarkar,,,,Delhi Daredevils,,,,,,Kolkata Knight Riders,200.0,350.0,India,Allrounder
Steve Smith,,,,Kochi Tuskers Kerala,,,Rajasthan Royals,200.0,400.0,,,,,
Dwayne Bravo,,,,Chennai Super Kings,,,,,,,,,,
Owais Shah,,,,Kochi Tuskers Kerala,,,,,,,,,,
Scott Styris,,,,Chennai Super Kings,,,,,,Deccan Chargers,175.0,175.0,New Zealand,Allrounder
Davy Jacobs,,,,Mumbai Indians,,,,,,,,,,
Ramesh Powar,,,,Kochi Tuskers Kerala,,,,,,Kings XI Punjab,150.0,170.0,India,Bowler
Wayne Parnell,,,,Pune Warriors India,,,Delhi Daredevils[REC],100.0,100.0,,,,,
Ryan ten Doeschate,,,,Kolkata Knight Riders,,,,,,,,,,
Jesse Ryder,,,,Pune Warriors India,,,,,,,,,,
Joginder Sharma,,,,Chennai Super Kings,,,,,,Chennai Super Kings,100.0,225.0,India,Allrounder
Charl Langeveldt,,,,Royal Challengers Bangalore,,,,,,,,,,
Mohammad Kaif,,,,Royal Challengers Bangalore,,,,,,Rajasthan Royals,125.0,675.0,India,Batsman
Francois du Plessis,,,,Chennai Super Kings,,,,,,,,,,
Clint McKay,,,,Mumbai Indians,,,,,,,,,,
Nathan McCullum,,,,Pune Warriors India,,,,,,,,,,
James Franklin,,,,Mumbai Indians,,,,,,,,,,
Wriddhiman Saha,,,,Chennai Super Kings,,,Kings XI Punjab,100.0,220.0,,,,,
Jerome Taylor,,,,Pune Warriors India,,,,,,,,,,
James Pattinson,,,,Kolkata Knight Riders,,,,,,,,,,
Alfonso Thomas,,,,Pune Warriors India,,,,,,,,,,
Nuwan Kulasekara,,,,Chennai Super Kings,,,,,,,,,,
Matthew Wade,,,,Delhi Daredevils,,,,,,,,,,
Dimitri Mascarenhas,,,,Kings XI Punjab,,,,,,,,,,
Colin Ingram,,,,Delhi Daredevils,,,,,,,,,,
Ben Hilfenhaus,,,,Chennai Super Kings,,,Chennai Super Kings,100.0,100.0,,,,,
Pankaj Singh,,,,Rajasthan Royals,,,,,,,,,,
Rusty Theron,,,,Deccan Chargers,,,,,,,,,,
Suraj Randiv,,,,Chennai Super Kings,,,,,,,,,,
John Hastings,,,,Kochi Tuskers Kerala,,,Chennai Super Kings[REC],50.0,50.0,,,,,
Andrew McDonald,,,,Delhi Daredevils,,,,,,,,,,
Thissara Perera,,,,Kochi Tuskers Kerala,,,,,,,,,,
Michael Lumb,,,,Deccan Chargers,,,,,,,,,,
Michael Klinger,,,,Kochi Tuskers Kerala,,,,,,,,,,
Johan van der Wath,,,,Royal Challengers Bangalore,,,,,,,,,,
Moises Henriques,,,,Mumbai Indians,,,Sunrisers Hyderabad,100.0,100.0,,,,,
George Bailey,,,,Chennai Super Kings,,,Kings XI Punjab,200.0,325.0,,,,,
Roelof van der Merwe,,,,Delhi Daredevils,,,,,,,,,,
Luke Pomersbach,,,,Royal Challengers Bangalore,,,,,,,,,,
Rilee Rossouw,,,,Royal Challengers Bangalore,,,,,,,,,,
Nuwan Pradeep,,,,Royal Challengers Bangalore,,,,,,,,,,
Chris Lynn,,,,Deccan Chargers,,,Kolkata Knight Riders[RTM],50.0,130.0,,,,,
Travis Birt,,,,Delhi Daredevils,,,,,,,,,,
Nathan Rimmington,,,,Kings XI Punjab,,,,,,,,,,
Jonathan Vandiar,,,,Royal Challengers Bangalore,,,,,,,,,,
Aiden Blizzard,,,,Mumbai Indians,,,,,,,,,,
Robert Frylinck,,,,Delhi Daredevils,,,,,,,,,,
Stephen O'Keefe,,,,Kochi Tuskers Kerala,,,,,,,,,,
Virender Sehwag,,,,,,,Kings XI Punjab,200.0,320.0,,,,,
Murali Vijay,,,,,,,Delhi Daredevils,200.0,500.0,,,,,
Faf du Plessis,,,,,,,Chennai Super Kings,150.0,475.0,,,,,
Jean-Paul Duminy,,,,,,,Delhi Daredevils,100.0,220.0,,,,,
Dwayne Smith,,,,,,,Chennai Super Kings,150.0,450.0,,,,,
Quinton de Kock,,,,,,,Delhi Dardevils,100.0,350.0,,,,,
Albie Morkel,,,,,,,Royal Challengers Bangalore,150.0,240.0,Chennai Super Kings,225.0,675.0,South Africa,Allrounder
Thisara Perera,,,,,,,Kings XI Punjab,50.0,160.0,,,,,
Bhuvneshwar Kumar,,,,,,,Sunrisers Hyderabad,150.0,425.0,,,,,
Morne Morkel,,,,,,,Kolkata Knight Riders,150.0,280.0,,,,,
Ravi Rampaul,,,,,,,Royal Challengers Bangalore,50.0,90.0,,,,,
Mohammed Shami,,,,,,,Delhi Dardevils,100.0,425.0,,,,,
Mitchell Starc,,,,,,,Royal Challengers Bangalore,200.0,500.0,,,,,
Ranganath Vinay Kumar,,,,,,,Kolkata Knight Riders,150.0,280.0,,,,,
Rahul Sharma,,,,,,,Delhi Daredevils,50.0,190.0,,,,,
Nic Maddinson,,,,,,,Royal Challengers Bangalore,50.0,50.0,,,,,
Brendan Taylor,,,,,,,Sunrisers Hyderabad,30.0,30.0,,,,,
Glenn Maxwell,,,,,,,Kings XI Punjab,100.0,600.0,,,,,
Laxmi Ratan Shukla,,,,,,,Delhi Daredevils,50.0,150.0,,,,,
Andre Russell,,,,,,,Kolkata Knight Riders[REC],50.0,60.0,,,,,
Parvinder Awana,,,,,,,Kings XI Punjab [RTM],50.0,65.0,,,,,
Mohit Sharma,,,,,,,Chennai Super Kings,100.0,200.0,,,,,
Samuel Badree,,,,,,,Chennai Super Kings,30.0,30.0,,,,,
Yalaka Venugopal Rao,,,,,,,Sunrisers Hyderabad,30.0,55.0,,,,,
James Neesham,,,,,,,Delhi Daredevils,30.0,100.0,,,,,
Ben Cutting,,,,,,,Rajasthan Royals,50.0,80.0,,,,,
Josh Hazlewood,,,,,,,Mumbai Indians,50.0,50.0,,,,,
Jason Holder,,,,,,,Sunrisers Hyderabad,50.0,75.0,,,,,
Kane Richardson,,,,,,,Rajasthan Royals,100.0,100.0,,,,,
Tim Southee,,,,,,,Rajasthan Royals,50.0,120.0,,,,,
Patrick Cummins,,,,,,,Kolkata Knight Riders[REC],100.0,100.0,,,,,
Marchant de Lange,,,,,,,Mumbai Indians[REC],30.0,30.0,,,,,
Krishmar Santokie,,,,,,,Mumbai Indians[REC],30.0,30.0,,,,,
Mayank Agarwal,,,,,,,Delhi Daredevils,10.0,160.0,,,,,
Srikkanth Anirudha,,,,,,,Sunrisers Hyderabad,20.0,20.0,,,,,
Baba Aparajith,,,,,,,Chennai Super Kings,10.0,10.0,,,,,
Unmukt Chand,,,,,,,Rajasthan Royals,30.0,65.0,,,,,
Kedar Jadhav,,,,,,,Delhi Daredevils[RTM],30.0,200.0,,,,,
Manprit Juneja,,,,,,,Sunrisers Hyderabad,10.0,10.0,,,,,
Gurkeerat Singh,,,,,,,Kings XI Punjab,20.0,130.0,,,,,
Manish Pandey,,,,,,,Kolkata Knight Riders,20.0,170.0,,,,,
KL Rahul,,,,,,,Sunrisers Hyderabad,10.0,100.0,,,,,
Suryakumar Yadav,,,,,,,Kolkata Knight Riders,20.0,70.0,,,,,
Vijay Zol,,,,,,,Royal Challengers Bangalore,30.0,30.0,,,,,
Ankush Bains,,,,,,,Rajasthan Royals,10.0,10.0,,,,,
Manvinder Bisla,,,,,,,Kolkata Knight Riders,30.0,60.0,,,,,
Debabrata Das,,,,,,,Kolkata Knight Riders[REC],20.0,20.0,,,,,
Ben Dunk,,,,,,,Mumbai Indians[REC],20.0,20.0,,,,,
CM Gautam,,,,,,,Mumbai Indians,20.0,20.0,,,,,
Sushant Marathe,,,,,,,Mumbai Indians,10.0,10.0,,,,,
Yogesh Takawale,,,,,,,Royal Challengers Bangalore[REC],10.0,10.0,,,,,
Iqbal Abdullah,,,,,,,Rajasthan Royals,30.0,65.0,,,,,
Rajat Bhatia,,,,,,,Rajasthan Royals,30.0,170.0,,,,,
Kevon Cooper,,,,,,,Rajasthan Royals,30.0,30.0,,,,,
Mithun Manhas,,,,,,,Chennai Super Kings,30.0,30.0,,,,,
Parvez Rasool,,,,,,,Sunrisers Hyderabad,20.0,95.0,,,,,
Mandeep Singh,,,,,,,Kings XI Punjab,30.0,80.0,,,,,
Ryan Ten Doeschate,,,,,,,Kolkata Knight Riders,100.0,100.0,,,,,
Abu Nechim Ahmed,,,,,,,Royal Challengers Bangalore,30.0,30.0,,,,,
Jasprit Bumrah,,,,,,,Mumbai Indians,20.0,120.0,,,,,
Siddarth Kaul,,,,,,,Delhi Daredevils,20.0,45.0,,,,,
Dhawal Kulkarni,,,,,,,Rajasthan Royals,30.0,110.0,,,,,
Ishwar Pandey,,,,,,,Chennai Super Kings,10.0,150.0,,,,,
Prasanth Parameswaran,,,,,,,Sunrisers Hyderabad,30.0,30.0,,,,,
Sandeep Sharma,,,,,,,Kings XI Punjab,30.0,85.0,,,,,
Rahul Shukla,,,,,,,Delhi Daredevils,20.0,40.0,,,,,
Anureet Singh,,,,,,,Kings XI Punjab,20.0,20.0,,,,,
Shreyas Gopal,,,,,,,Mumbai Indians,10.0,10.0,,,,,
Shadab Jakati,,,,,,,Royal Challengers Bangalore,20.0,20.0,,,,,
Shahbaz Nadeem,,,,,,,Delhi Daredevils[RTM],30.0,85.0,,,,,
Yuzvendra Chahal,,,,,,,Royal Challengers Bangalore,10.0,10.0,,,,,
Kuldeep Yadav,,,,,,,Kolkata Knight Riders,10.0,40.0,,,,,
Karun Nair,,,,,,,Rajasthan Royals,10.0,75.0,,,,,
Apoorv Vijay Wankhade,,,,,,,Mumbai Indians[REC],10.0,10.0,,,,,
Amit Paunikar,,,,,,,Sunrisers Hyderabad,20.0,20.0,,,,,
Dishant Yagnik,,,,,,,Rajasthan Royals,30.0,30.0,,,,,
Akshar Patel,,,,,,,Kings XI Punjab,20.0,75.0,,,,,
Jalaj Saxena,,,,,,,Mumbai Indians,20.0,90.0,,,,,
Vijay Shankar,,,,,,,Chennai Super Kings,10.0,10.0,,,,,
Beuran Hendricks,,,,,,,Kings XI Punjab,30.0,180.0,,,,,
Vikramjeet Malik,,,,,,,Rajasthan Royals,20.0,20.0,,,,,
Ronit More,,,,,,,Chennai Super Kings,10.0,10.0,,,,,
Harshal Patel,,,,,,,Royal Challengers Bangalore[RTM],30.0,40.0,,,,,
Veer Pratap Singh,,,,,,,Kolkata Knight Riders,20.0,40.0,,,,,
Ashish Reddy,,,,,,,Sunrisers Hyderabad[REC],20.0,20.0,,,,,
Pawan Suyal,,,,,,,Mumbai Indians,10.0,10.0,,,,,
Sandeep Warrier,,,,,,,Royal Challengers Bangalore,10.0,10.0,,,,,
Ankit Nagendra Sharma,,,,,,,Rajasthan Royals[REC],10.0,10.0,,,,,
Ricky Bhui,,,,,,,Sunrisers Hyderabad[REC],10.0,10.0,,,,,
Jayant Yadav,,,,,,,Delhi Daredevils[REC],10.0,10.0,,,,,
Sachin Rana,,,,,,,Royal Challengers Bangalore[REC],20.0,20.0,,,,,
HS Sharath,,,,,,,Delhi Daredevils[REC],10.0,10.0,,,,,
Shivam Sharma,,,,,,,Kings XI Punjab[REC],10.0,10.0,,,,,
Deepak Hooda,,,,,,,Rajasthan Royals[REC],10.0,40.0,,,,,
Chama Milind,,,,,,,Sunrisers Hyderabad[REC],10.0,10.0,,,,,
Shardul Thakur,,,,,,,Kings XI Punjab[REC],10.0,20.0,,,,,
Tanmay Mishra,,,,,,,Royal Challengers Bangalore[REC],10.0,10.0,,,,,
Sayan Sekhar Mondal,,,,,,,Kolkata Knight Riders[REC],10.0,10.0,,,,,
Karanveer Singh,,,,,,,Kings XI Punjab[REC],10.0,10.0,,,,,
Milind Kumar,,,,,,,Delhi Daredevils[REC],10.0,10.0,,,,,
Shane Warne,,,,,,,,,,Rajasthan Royals,450.0,450.0,Australia,Bowler
Mahendra Singh Dhoni,,,,,,,,,,Chennai Super Kings,400.0,1500.0,India,Wicketkeeper
Shoaib Akhtar,,,,,,,,,,Kolkata Knight Riders,250.0,425.0,Pakistan,Bowler
Anil Kumble,,,,,,,,,,Royal Challengers Bangalore,250.0,500.0,India,Bowler
Glenn McGrath,,,,,,,,,,Delhi Daredevils,350.0,350.0,Australia,Bowler
Mohammed Yousuf,,,,,,,,,,Unsold,350.0,,Pakistan,Batsman
Harbhajan Singh,,,,,,,,,,Mumbai Indians,250.0,850.0,India,Bowler
Sanath Jayasuriya,,,,,,,,,,Mumbai Indians,250.0,975.0,Sri Lanka,Allrounder
Ricky Ponting,,,,,,,,,,Kolkata Knight Riders,335.0,400.0,Australia,Batsman
Matthew Hayden,,,,,,,,,,Chennai Super Kings,225.0,375.0,Australia,Batsman
Jacob Oram,,,,,,,,,,Chennai Super Kings,200.0,675.0,New Zealand,Allrounder
Stephen Fleming,,,,,,,,,,Chennai Super Kings,350.0,350.0,New Zealand,Batsman
Herschelle Gibbs,,,,,,,,,,Deccan Chargers,250.0,575.0,South Africa,Batsman
Chris Gayle,,,,,,,,,,Kolkata Knight Riders,250.0,800.0,West Indies,Allrounder
Shoaib Malik,,,,,,,,,,Delhi Daredevils,300.0,500.0,Pakistan,Allrounder
Shahid Afridi,,,,,,,,,,Deccan Chargers,225.0,675.0,Pakistan,Allrounder
Younis Khan,,,,,,,,,,Rajasthan Royals,225.0,225.0,Pakistan,Batsman
Mohammad Asif,,,,,,,,,,Delhi Daredevils,225.0,650.0,Pakistan,Bowler
Mark Boucher,,,,,,,,,,Royal Challengers Bangalore,200.0,450.0,South Africa,Wicketkeeper
Kamran Akmal,,,,,,,,,,Rajasthan Royals,150.0,150.0,Pakistan,Wicketkeeper
Tatenda Taibu,,,,,,,,,,Kolkata Knight Riders,125.0,125.0,Zimbabwe,Wicketkeeper
Shaun Pollock,,,,,,,,,,Mumbai Indians,200.0,550.0,South Africa,Allrounder
Farveez Maharoof,,,,,,,,,,Delhi Daredevils,150.0,225.0,Sri Lanka,Allrounder
Ramnaresh Sarwan,,,,,,,,,,Kings XI Punjab,225.0,225.0,West Indies,Batsman
Simon Katich,,,,,,,,,,Kings XI Punjab,200.0,200.0,Australia,Batsman
Justin Langer,,,,,,,,,,Rajasthan Royals,200.0,200.0,Australia,Batsman
Shivnarine Chanderpaul,,,,,,,,,,Royal Challengers Bangalore,200.0,200.0,West Indies,Batsman
Ashwell Prince,,,,,,,,,,Unsold,175.0,,South Africa,Batsman
Wasim Jaffer,,,,,,,,,,Royal Challengers Bangalore,150.0,150.0,India,Batsman
